state,electoral_votes_total,roosevelt_votes,roosevelt_pct,roosevelt_electoral_votes,landon_votes,landon_pct,landon_electoral_votes,lemke_votes,lemke_pct,lemke_electoral_votes,thomas_votes,thomas_pct,thomas_electoral_votes,other_votes,other_pct,other_electoral_votes,margin,margin_pct,total_votes,state_abbr
Maine,5,126333,41.52,0,168823,55.49,5,7581,2.49,0,783,0.26,0,720,0.24,0,-42490,-13.97,304240,ME
Maryland,8,389612,62.35,8,231435,37.04,0,-,-,0,1629,0.26,0,2220,0.36,0,158177,25.31,624896,MD
Massachusetts,17,942716,51.22,17,768613,41.76,0,118639,6.45,0,5111,0.28,0,5278,0.29,0,174103,9.46,1840357,MA
Michigan,19,1016794,56.33,19,699733,38.76,0,75795,4.2,0,8208,0.45,0,4568,0.25,0,317061,17.56,1805098,MI
Minnesota,11,698811,61.84,11,350461,31.01,0,74296,6.58,0,2872,0.25,0,3535,0.31,0,348350,30.83,1129975,MN
Mississippi,9,157318,97.06,9,4443,2.74,0,-,-,0,329,0.2,0,-,-,0,152875,94.31,162090,MS
Missouri,15,1111043,60.76,15,697891,38.16,0,14630,0.8,0,3454,0.19,0,1617,0.09,0,413152,22.59,1828635,MO
Montana,4,159690,69.28,4,63598,27.59,0,5549,2.41,0,1066,0.46,0,609,0.26,0,96092,41.69,230512,MT
Nebraska,7,347445,57.14,7,247731,40.74,0,12847,2.11,0,-,-,0,-,-,0,99714,16.4,608023,NE
Nevada,3,31925,72.81,3,11923,27.19,0,-,-,0,-,-,0,-,-,0,20002,45.62,43848,NV
New Hampshire,4,108460,49.73,4,104642,47.98,0,4819,2.21,0,-,-,0,193,0.09,0,3818,1.75,218114,NH
New Jersey,16,1083850,59.54,16,720322,39.57,0,9407,0.52,0,3931,0.22,0,2927,0.16,0,364128,19.97,1820437,NJ
New Mexico,3,106037,62.69,3,61727,36.5,0,924,0.55,0,343,0.2,0,105,0.06,0,44310,26.2,169176,NM
New York,47,3293222,58.85,47,2180670,38.97,0,-,-,0,86897,1.55,0,35609,0.64,0,1112552,19.88,5596398,NY
North Carolina,13,616141,73.4,13,223283,26.6,0,2,0,0,21,0,0,17,0,0,392858,46.8,839464,NC
North Dakota,4,163148,59.6,4,72751,26.58,0,36708,13.41,0,552,0.2,0,557,0.2,0,90397,33.03,273716,ND
Ohio,26,1747140,57.99,26,1127855,37.44,0,132212,4.39,0,117,0,0,5265,0.17,0,619285,20.56,3012589,OH
Oklahoma,11,501069,66.83,11,245122,32.69,0,-,-,0,2221,0.3,0,1328,0.18,0,255947,34.14,749740,OK
Oregon,5,266733,64.42,5,122706,29.64,0,21831,5.27,0,2143,0.52,0,608,0.15,0,144027,34.79,414021,OR
Pennsylvania,36,2353987,56.88,36,1690200,40.84,0,67468,1.63,0,14599,0.35,0,12172,0.29,0,663787,16.04,4138426,PA
Rhode Island,4,165238,53.1,4,125031,40.18,0,19569,6.29,0,-,-,0,1340,0.43,0,40207,12.92,311178,RI
South Carolina,8,113791,98.57,8,1646,1.43,0,-,-,0,-,-,0,-,-,0,112145,97.15,115437,SC
South Dakota,4,160137,54.02,4,125977,42.49,0,10338,3.49,0,-,-,0,-,-,0,34160,11.52,296472,SD
Tennessee,11,328083,68.85,11,146520,30.75,0,296,0.06,0,686,0.14,0,953,0.2,0,181563,38.1,476538,TN
Texas,23,734485,87.08,23,103874,12.31,0,3281,0.39,0,1075,0.13,0,767,0.09,0,630611,74.76,843482,TX
Utah,4,150246,69.34,4,64555,29.79,0,1121,0.52,0,432,0.2,0,323,0.15,0,85691,39.55,216677,UT
Vermont,3,62124,43.24,0,81023,56.39,3,-,-,0,-,-,0,542,0.38,0,-18899,-13.15,143689,VT
Virginia,11,234980,70.23,11,98336,29.39,0,233,0.07,0,313,0.09,0,728,0.22,0,136644,40.84,334590,VA
Washington,8,459579,66.38,8,206892,29.88,0,17463,2.52,0,3496,0.5,0,4908,0.71,0,252687,36.5,692338,WA
West Virginia,8,502582,60.56,8,325358,39.2,0,-,-,0,832,0.1,0,1173,0.14,0,177224,21.35,829945,WV
Wisconsin,12,802984,63.8,12,380828,30.26,0,60297,4.79,0,10626,0.84,0,3825,0.3,0,422156,33.54,1258560,WI
Wyoming,3,62624,60.58,3,38739,37.47,0,1653,1.6,0,200,0.19,0,166,0.16,0,23885,23.1,103382,WY
